SERIES_ID,MASTER_SERIES_ID,CP_CD,MCP_CD,CONTRACTID,TITLE,CTGR_NAME,TITLE_DISPLAY_NAME,TITLESHORT,TITLESORTABLE,SUMMARY_MEDIUM,SERS_ENDBRD_YN,SEASON_NO,RATING,GENRE_MAIN,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,COUNTRY_OF_ORIGIN,CONTENT_LANGUAGE,BROAD_CHANNEL,BROAD_DAY,ATTACH_VIDEO_TYPE,VIDEOSERVICETYPE,VIDEOTYPE,GENRE_DISPLAY,DETAIL_GENRE_DISPLAY,CORNER_WATCH_FLAG
60020583430000,90000000009865,00524,00524,210007741,밥은 먹고 다니냐?-강호동의 밥심,기타 케이블 > 연예오락,,,,,밥은 먹고 다니냐?-강호동의 밥심,밥은 먹고 다니냐?-강호동의 밥심,밥은 먹고 다니냐?-강호동의 밥심,,강호동 X 둘째이모 김다비의 기름기 쫙 뺀 순도 100% 솔직·담백 살코기 토크가 온다! ‘밥심’ 밸런스를 제대로 맞춰줄 신개념 밥심 충전 토크쇼! 오직 나만을 위한 따~뜻한 한 끼로 시~원하게 ‘밥심’ 레벨업 하고 싶다면? 지금 바로 예약 주세요~,,N,1,,,4,050100,,,,,,,,배성현,,"강호동,김신영,남창희",,KOR,KOR,,,,,,기타,,월,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020156510000,,50032,50032,200000276,산업뉴스,기타 > 공공/공익,산업뉴스,KOR,,,산업뉴스,산업뉴스,산업뉴스,,산업뉴스,"1. 여성 발명가, 생활 아이디어로 성공
2. 무용 의상의 살아있는 역사
3. 구직자 40%이상, 취업 멘토 있다
4. 한/중 FTA, '피해 최소가 최우선' 
5. 산업단신
",N,1,,,1,140200,,,,,,산업뉴스,,-,-,-,2012,KOR,KOR,,,-,,,,,,산업뉴스,,,,,,,,,VOD,본편,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1907,N
60020556650000,90000000007483,00442,00442,112090000,내사랑투유,종편 > TV조선 > 시사교양,,,,,내사랑투유,내사랑투유,내사랑투유,,"키워드 속에 담긴 스타의 일과 사랑, 음악 그리고 건강 이야기! 인생 희로애락을 노래하는 본격 인생 토크쇼.",,N,1,,,4,060000,,,,,,,,,,"홍서범,조갑경",,KOR,KOR,,,,,,TV조선,,화,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1103,N
60020619070000,90000000013344,00498,00498,200001617,대진제국4 : 대진부,시리즈 > 중드,,CHN,,,대진제국 4 : 대진부,대진제국4 : 대진부,대진제국4 : 대진부,,"[올레tv 선독점! 채널방송 종료 후, 당일 월~목요일에 업데이트 됩니다.]
전국시대 후기, 강력한 진나라를 이룩한 소양왕의 사후, 뒤를 이은 효문왕마저 붕어하면서, 진나라 조정은 적서의 논쟁에 휩싸인다.",,N,1,78,,4,031100,,,,,,,,"고기면,류영도,강룡,연예",,"장로일,단혁굉,이내문",2020,CHN,CHN,,,,,,기타,,"월,화,수,목",,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1205,N
60020296990000,70000000011005,00002,00002,101650000,불타는 청춘,지상파 > SBS > 연예오락,,,,,불타는 청춘,불타는 청춘,불타는 청춘,,"아직도 마음은 불타고 있는 싱글중년들! 그들이 여행을 떠나, 잊고 있던 청춘을 찾고자하는 본격 '싱글 중년 친구찾기' 프로그램","아직도 마음은 불타고 있는 싱글중년들! 그들이 여행을 떠나, 잊고 있던 청춘을 찾고자하는 본격 '싱글 중년 친구찾기' 프로그램",N,1,,,4,050100,,,,,,,,"이승훈,한승호",,"구본승,최민용,김광규,최성국,이연수,조하나,이상아,이기찬,강문영,김혜림",,KOR,KOR,,,,,,SBS,,화,"여행 버라이어티, 중년",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020528700000,90000000004030,52401,52401,210003903,욜로리아의 날씬해질 식탁,CJ > DIATV,,,,,욜로리아의 날씬해질 식탁,욜로리아의 날씬해질 식탁,욜로리아의 날씬해질 식탁,,"안녕하세요. 간단한요리, TV 레시피, 집밥 유튜브 욜로리아 입니다.",,N,1,,,4,050100,070100,,,,,,"집밥, 레시피, 요리",,,욜로리아,2019,KOR,KOR,,,,,,기타,,월,"집밥, 레시피, 요리",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020578010000,90000000009265,52401,52401,210003903,용시쿠의 리얼 집사인생,CJ > DIATV,,,,,용시쿠의 리얼 집사인생,용시쿠의 리얼 집사인생,용시쿠의 리얼 집사인생,,"귀여운 고슴도치 루비, 루시와 페럿 제삐, 제오! 용시쿠의 리얼한 집사인생 기록기. 함께 봐요!",,N,1,,,4,050100,,,,,,,,,,용시쿠,2020,KOR,KOR,,,,,,기타,,월,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020585450000,90000000010071,00002,00002,101650000,불새 2020,지상파 > SBS > 드라마,,,,,불새 2020,불새 2020,불새 2020,,사랑만으로 결혼했다가 이혼한 부잣집 여자와 가난한 남자가 경제적 상황 역전 후 다시 만나게 되면서 일어나는 일을 그린 드라마,,N,1,,,4,030500,,,,,,,,이현직,이유진,"홍수아,이재우,서하준,박영린,성현아,강성진",,KOR,KOR,,,,,,SBS,,"월,화,수,목,금",,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1101,N
60020627260000,90000000013449,55403,55403,210009862,뽀뽀뽀 친구친구 1,어린이/유아 > 동화,,KOR,,,뽀뽀뽀 친구친구 1,,뽀뽀뽀 친구친구 1,,"몸 튼튼 마음 튼튼, 대한민국 어린이를 건강하게 길러내자! 2020년 <MBC 뽀뽀뽀 친구친구>는 대한민국 어린이들의 친구가 되어 마음을 다독이고, 어린이들의 몸과 마음의 면역력을 최고로 끌어올려 어린이들이 건강하고 밝게 성장할 수 있도록 돕고자 한다.
(1,2화를 무료로 감상하세요!)",,Y,1,,,1,031610,041611,,,,,,,,,,2020,KOR,KOR,,,,20200713,,MBC,,"월,화",,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1307,N
60020605840000,90000000011440,50377,50377,200002176,(클립) YTN 데일리 뉴스 (2021),클립 > 교육/지식/정보,,,,,(클립) YTN 데일리 뉴스 (2021),(클립) YTN 데일리 뉴스 (2021),(클립) YTN 데일리 뉴스 (2021),,(클립) YTN 데일리 뉴스 (2021),클립,N,1,,,1,140000,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,클립,CLIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,9001,N
60020625510000,90000000013461,00134,00134,103070000,명탐정코난 8기 Part1,애니메이션 > 애니메이션,,,,,명탐정 코난 8기 (더빙) Part 1,명탐정 코난 8기 (더빙) Part 1,명탐정코난 8기 Part1,,"[해당 시리즈는 업데이트 완료되었습니다.]
고등학생 명탐정인 남도일은 미란과 함께 유원지로 놀러 간다. 남도일은 그곳에서 의혹의 조직들이 거래하는 장면을 목격하지만, 또 한 명의 조직원은 발견하지 못하고, 쓰러지고 만다. 남도일을 죽이기 위해 조직의 남자가 먹인 약은 왜인지 남도일을 어린아이의 몸으로 만들고 만다.
(1화 무료, 시리즈 구매 시 30% 할인)",,Y,1,,,3,041000,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1402,N
60020625460000,90000000013113,50427,50427,200002526,옆자리 괴물군(자막),애니메이션 > 애니메이션,,,,,옆자리 괴물군 (자막),옆자리 괴물군 (자막),옆자리 괴물군(자막),,"[해당 시리즈는 매주 금요일에 업데이트 됩니다.]
옆자리의 요시다 하루는 입학 첫날 유혈 사태를 일으킨 이후, 한 번도 학교에 나오지 않고 있다. 선생님의 부탁으로 문제아 하루에게 프린트물을 전해주게 된 시즈쿠. 자신의 성적 외에는 관심이 없던 은근 개인주의자인 시즈쿠는 이로인해 요시다 하루에게 친구로 인정을 받는다.
(1화를 무료로 시청하실 수 있습니다.)",,N,1,,,4,041500,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1404,N
60020609980000,90000000011905,00498,00498,200001617,청춘 조소과,시리즈 > 중드,,CHN,,,청춘 조소과,청춘 조소과,청춘 조소과,,"[본 시리즈는 매주 화~금요일에 업데이트 될 예정입니다.]
쉬안저우대학교 조소과 1학년 위안첸은 성적 때문에 포기한 유화과로 전과하는 것과 모태솔로 탈출이 대학 생활의 목표다. 하지만 유화과로 전과하는 길은 순탄치 않고, 남자친구를 고르는 까탈스러운 기준 탓에 솔로 탈출도 쉽지 않다.",,N,1,24,,4,030600,,,,,,,,임연,,"송이인,등초원",,CHN,CHN,,,,,,기타,,"월,화,수,목",,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1206,N
60020550920000,90000000006707,52922,52922,210006782,피싱클럽,스포츠 > e스포츠,,,,,피싱클럽,피싱클럽,피싱클럽,,최고의 낚시꾼이 되기 위한 낚시 BJ들의 알짜팁,,N,1,,,4,090100,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1805,N
60020151400000,81000000011021,00033,00033,101570000,가요무대,지상파 > KBS > 연예오락,,KOR,,,가요무대,가요무대,가요무대,,매주 새로운 주제를 갖고 초대가수들이 출연하여 향수와 추억을 불러일으키는 전통가요를 선사하는 프로그램,매주 새로운 주제를 갖고 초대가수들이 출연하여 향수와 추억을 불러일으키는 전통가요를 선사하는 프로그램,N,1,,,1,050100,,,,,,,,"이재우,조성호",,김동건,2012,KOR,KOR,,,"이재우,조성열",,,KBS1,,월,,,,,,,,,,VOD,,,,,,김동건,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020526640000,90000000003796,00033,00033,101570000,개는 훌륭하다,지상파 > KBS > 연예오락,,,,,개는 훌륭하다,개훌륭,개는 훌륭하다,,성숙한 반려동물 문화를 조성하기 위해 반려견과 사람이 행복하게 어우러져 사는 법을 함께 고민해보는 프로그램,,N,1,,,4,050100,,,,,,,"반려견, 사람",이태헌,,"강형욱,이경규,장도연",2019,KOR,KOR,,,,,,KBS2,,월,"반려견, 문화",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020280270000,80000000012865,00469,00469,112100000,나는 몸신이다,종편 > 채널A > 연예오락,,,,,나는 몸신이다,나는 몸신이다,나는 몸신이다,,"[본 프로그램은 매주 목요일 업데이트 됩니다.]
세상을 널리 이롭게 할 건강 정보나 잘못된 속설을 바로 잡을 정확한 정보를 갖고 있다면 누구나 '몸신'의 이름으로 도전한다. 자타칭 건강 전문가들이 건강 비책을 소개하는 프로그램.","[본 프로그램은 매주 목요일 업데이트 됩니다.]
세상을 널리 이롭게 할 건강 정보나 잘못된 속설을 바로 잡을 정확한 정보를 갖고 있다면 누구나 '몸신'의 이름으로 도전한다. 자타칭 건강 전문가들이 건강 비책을 소개하는 프로그램.",N,1,,,3,050100,,,,,,,,김진,,정은아,,KOR,KOR,,,,,,채널A,,수,"건강, 정보, 속설, 전문가",,,,,,,,본편,VOD,일반,,,,,정은아,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020607890000,90000000012555,52922,52922,210006782,먹방 버킷리스트,스포츠 > e스포츠,,,,,먹방 버킷리스트,먹방 버킷리스트,먹방 버킷리스트,,"먹방의 원조, 먹방의 대가, 아프리카TV 먹방 BJ들의 리얼 먹방쇼",,N,1,,,4,090100,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1805,N
60020280290000,80000000012860,00469,00469,112100000,독한인생 서민갑부,종편 > 채널A > 시사교양,,,,,독한인생 서민갑부,독한인생 서민갑부,독한인생 서민갑부,,"[본 프로그램은 매주 일요일에 업데이트됩니다.]
매주 2명의 서민에서 자신의 힘으로 큰 부를 쌓은 서민 갑부를 발굴하고, 다큐멘터리와 실화 를 바탕으로 한 재연 드라마로 구성하여 그들의 숨은 인생역정과 노하우를 공개하는 프로그램.","[본 프로그램은 매주 일요일에 업데이트됩니다.]
매주 2명의 서민에서 자신의 힘으로 큰 부를 쌓은 서민 갑부를 발굴하고, 다큐멘터리와 실화 를 바탕으로 한 재연 드라마로 구성하여 그들의 숨은 인생역정과 노하우를 공개하는 프로그램.",N,1,,,1,060000,,,,,,,,,,,2018,KOR,KOR,,,,,,채널A,,토,"자수성가, 실화, 재연",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1103,N
60020607880000,90000000012554,52922,52922,210006782,A-CHU,스포츠 > e스포츠,,,,,A-CHU,A-CHU,A-CHU,,매주 놓쳐선 안되는 아프리카TV 추천 핫클립,,N,1,,,4,090100,,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1805,N
60020550500000,90000000010249,00313,00313,200002224,반짝이는 프리채널,애니메이션 > 애니메이션,,,,,반짝이는 프리채널,반짝이는 프리채널,반짝이는 프리채널,,"[해당 시리즈는 매주 수요일에 업데이트 됩니다.]
언제 어디서든 누구나 쉽게 볼 수 있는 전 세계에서 가장 인기 있는 방송 시스템인 '프리☆채널' 노래, 춤, 장기 등 자신이 좋아하는 것을 담은 영상을 만들어 방송하고 팔로워와 좋아요를 모으면 누구든 스타가 될 수 있어요!
각자의 개성을 가진 소녀들의 프리☆채널 도전기, 지금 바로 ON AIR!
(1화를 무료로 시청하실 수 있습니다.)",,N,1,,,1,040700,,,,,,,"코믹,명랑",,,,,KOR,KOR,,,,,,,,,"반짝이는프리채널,노래,춤,스타,개성,라미,장기",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1403,N
60020603950000,90000000013480,51123,51123,210000741,티디 율동동요,어린이/유아 > 동화,,,,,티디 율동동요,,티디 율동동요,,"티디 율동동요! 어깨 으쓱으쓱 흥겹게 율동하며 동요를 함께 불러요.
(1화를 무료로 감상하세요!)",,Y,1,,,1,041601,041601,,,,,,,,,,,KOR,KOR,,,,,,,,,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1302,N
60020608460000,90000000011932,52482,52482,210004260,에도모아젤,시리즈 > 일드,,JPN,,,에도모아젤,에도모아젤,에도모아젤,,"[본 시리즈는 매주 수요일에 업데이트 될 예정입니다.]
에도시대에서 타임슬립한 오이란(고급 유녀)과 레이와(현재 일본 연효) 프리터 청년과 시대를 초월한 가슴 절절한(슬픈, 애틋한) 사랑을 그린 러브 코미디.",,N,1,10,,4,030700,030600,,,,,,,시오구치 타게시,,"오카타 유이,하야마 쇼노,마에다 고키,요시타니 아야코",,JPN,JPN,,,,,,기타,,수,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1203,N
60020622190000,90000000013122,50281,00239,200001656,망황기 (상),OPEN > 시리즈 > 무협/중화,黄祖权,CHN,The Legend of JADE SWORD,,망황기 (상),망황기 (상),망황기 (상),,타고난 무공의 재능을 가진 기녕은 기씨 부족이 멸족당하자 가족과 주변 사람들을 지키기 위해 강해져야만 했다. 기녕은 흑백학궁에 들어가 공부하면서 가족의 원한 뒤에 더 큰 음모가 있음을 알게 된다. 기녕은 여러 갖은 고난을 겪으며 마침내 진정한 강자로 성장하게 된다.,,N,1,22,,4,031100,,,,,,,,황조권,,"류카이웨이,왕오우,진역비,장준녕",2018,CHN,CHN,,,,,,기타,20210317,"월,화,수,목,금",,,,,,,,,본편,VOD,일반,OPEN,,"류카이웨이,왕오우,진역비,장준녕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1205,N
60020586990000,90000000010245,00043,00043,104190000,골드버그 패밀리 시즌8,시리즈 > 미드/영드,The Goldbergs Season 8,ENG,,The Goldbergs Season 8,골드버그 패밀리 시즌 8,골드버그 패밀리 시즌8,골드버그 패밀리 시즌8,,"[본 시리즈는 매주 화요일에 업데이트 될 예정입니다.]
고함과 사랑으로 가득한 골드버그 가문의 이야기.",,N,8,23,,3,030500,030400,,,,,,,에릭 딘 세톤,,"션 지암브론,웬디 맥렌던 커비",2020,USA,ENG,,,,,,기타,,목,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1201,N
60020613000000,90000000012148,00043,00043,104190000,콜 유어 마더,시리즈 > 미드/영드,Call Your Mother,ENG,,Call Your Mother,콜 유어 마더,콜 유어 마더,콜 유어 마더,,"[본 시리즈는 매주 수요일에 업데이트 될 예정입니다.] 
아들 프레디와 나흘째 연락이 닿지 않자 걱정되는 마음에 바로 LA 달려간 진. 하지만 프레디와 재키가 독립해 잘 사는 모습을 보자 마음 한쪽 큰 섭섭함을 느낀다.",,N,1,13,,4,030500,030700,,,,,,,파멜라 프라이맨,,"카이라 세드윅,조이 브래그",,USA,ENG,,,,,,기타,,목,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1201,N
60020187340000,80000000012845,00470,00470,112110000,엄지의 제왕,종편 > MBN > 연예오락,엄지의 제왕,KOR,,,엄지의 제왕,엄지의 제왕,엄지의 제왕,,"[본 프로그램은 매주 수요일에 업데이트 됩니다.]
생활 속 고수, 엄지의 제왕을 찾아라! '노하우의 제왕' 자리를 놓고 벌이는 불꽃 튀는 대결! 다양한 분야에서 자신만의 노하우를 지닌 그들의 숨은 알짜배기 정보가 지금 공개된다!","[본 프로그램은 매주 수요일에 업데이트 됩니다.]
생활 속 고수, 엄지의 제왕을 찾아라! '노하우의 제왕' 자리를 놓고 벌이는 불꽃 튀는 대결! 다양한 분야에서 자신만의 노하우를 지닌 그들의 숨은 알짜배기 정보가 지금 공개된다!",N,1,,,1,050100,,,,,,,,김달준,,"조충현,소유진",2018,KOR,KOR,,MBN,,,,MBN,,화,건강정보,,,,,,,,,VOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020617010000,90000000012700,52261,52261,210003461,절세천금완결편,시리즈 > 중드,,CHN,,,절세천금 완결편,절세천금 완결편,절세천금완결편,,"[올레tv 선독점! 채널방송 종료 후, 당일 월~금요일에 업데이트 됩니다.]
게임 속에 남게 된 임낙경. 종무매와의 달콤한 시간도 잠시, 게임 속의 상황은 녹록치 않게 흘러간다. 기유 왕자로 돌아온 유수문은 금진 정원왕과 손을 잡고 호시탐탐 성경을 노리고, 종무매는 성경을 지키기 위해 고군분투한다.","게임 속에서 진정한 사랑을 찾지만 불러오기 기능을 다 써버린 임낙경, 과연 그녀는 게임 속에서 벗어 날 수 있을까?",N,3,27,,4,030600,030500,,,,,,,린허롱,,"궁쥔,정치우홍,팡이룬,위카이닝",2020,CHN,CHN,,,,,,기타,,수,,,,,,,,,,VOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1206,N
40000000061611,,00033,00033,101570000,영상앨범 산,지상파 > KBS > 시사교양,영상앨범 산,,,,영상앨범 산,영상앨범 산,영상앨범 산,,쉽게 갈 수 없는 곳이기에 더욱 가고 싶어지는 신성한 곳. 가족의 행복과 평안을 축복하러 오는 길. 그 길에선 두 명의 여인도 그들과 같은 마음이었을까? 아무에게나 드러내지 않는 성스러운 모습이 고개를 내밀고 있었다.,쉽게 갈 수 없는 곳이기에 더욱 가고 싶어지는 신성한 곳. 가족의 행복과 평안을 축복하러 오는 길. 그 길에선 두 명의 여인도 그들과 같은 마음이었을까? 아무에게나 드러내지 않는 성스러운 모습이 고개를 내밀고 있었다.,N,1,,1,1,060000,,,,,,,,정재학,,최원정,,KOR,KOR,,,,,,KBS2,,일,,,,,,,,,,VOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1103,N
60020612300000,90000000012062,40143,40143,101541000,너의 목소리가 보여 8,CJ > Mnet,,,,,너의 목소리가 보여 8,너의 목소리가 보여 8,너의 목소리가 보여 8,,"직업과 나이, 노래 실력을 숨긴 미스터리 싱어 그룹에서 얼굴과 몇 가지 단서만으로 실력자인지 음치인지 가리는 대반전 음악 추리쇼 프로그램",,N,1,,,4,050100,,,,,,,,,,"김종국,유세윤,이특",,KOR,KOR,,,,,,Mnet,,금,,,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1102,N
60020356560000,80000000014600,00003,00003,115580000,세상에 나쁜 개는 없다,지상파 > EBS > 다큐교양,,,,,세상에 나쁜 개는 없다,세상에 나쁜 개는 없다,세상에 나쁜 개는 없다,,★새롭게 시작하는 세상에 나쁜 개는 없다 시즌 3★,반려견은 언제나 가족의 행복만을 바라며 산다는 사실을 아시나요? 그렇다면 우리 강아지들의 특이하고 이상한 행동들은 과연 왜 그러는 걸까요?,N,1,,,1,060700,060700,,,,,,"강아지, 개, 착한개, 나쁜개, 애견",,,설채현,,KOR,KOR,,,,,,EBS,,금,"강아지, 개, 애견,",,,,,,,,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1103,N
